Model,AUC,Accuracy,Precision,Recall,F1,MCC,KS-statistic,Cross-Entropy,TopK
ESMFold_ankh-base_mean_5e-4_full,0.8679328424653656,0.8283261802575108,0.8255254720951608,0.6842828619238783,0.7476255466757553,0.6261107643062862,0.6322280488704336,0.4415574551525707,0.826086956521739
ESMFold_ankh-base_mean_5e-4_foldseek_only,0.8665558576714693,0.8313304721030044,0.8224113113989808,0.7019622945983438,0.7567633487476306,0.6337140558142449,0.630838151519408,0.4475412965859908,0.8478260869565218
ESMFold_ankh-base_mean_5e-4_ez_only,0.8707911812288348,0.8218884120171672,0.7714158531263844,0.7239838396217932,0.7463427817444213,0.6105541685208303,0.6343435412540082,0.4232617130332509,0.8115942028985506
ESMFold_ankh-base_mean_5e-4_aa_only,0.8669809526015368,0.8150214592274679,0.7798893650622845,0.7074557111309253,0.7416645318069099,0.5999807678274947,0.6307140359467442,0.4158189136683615,0.8362318840579711
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_full,0.9025716499961411,0.8575107296137338,0.8150999268958777,0.7889108451808976,0.8015236096397906,0.6907535294276037,0.7045271004532243,0.3941465377859058,0.8623188405797102
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_foldseek_only,0.8988296448742459,0.8399141630901287,0.8102424528449665,0.7483767093350784,0.7776110037961127,0.6544685387051485,0.6878132130705144,0.4119551328503604,0.846376811594203
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_ez_only,0.8824490999249136,0.8201716738197424,0.7649174175425171,0.7516304600589561,0.7576831388890075,0.6150889780994073,0.6711012472566329,0.4083704241151044,0.7985507246376812
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_aa_only,0.8880547188702884,0.8300429184549356,0.784086277682933,0.7234724603338037,0.7523541451965864,0.6244763872034286,0.6869101183666717,0.3936139963313938,0.8
ESMFold_prot_bert_mean_5e-4_full,0.900546243019873,0.8476394849785407,0.8456570538126517,0.7315987615161663,0.7842648290369454,0.6716437620043665,0.700807933112228,0.3929541574099228,0.8898550724637682
ESMFold_prot_bert_mean_5e-4_foldseek_only,0.8972182654993853,0.852360515021459,0.8259254216944439,0.750015969621481,0.7855672734050408,0.6756936691651927,0.6872089809688706,0.401993190157224,0.8536231884057972
ESMFold_prot_bert_mean_5e-4_ez_only,0.8837013292988811,0.8223175965665236,0.7688298870532113,0.7493061685302997,0.7581109185730192,0.6185850616781055,0.6607966749467813,0.4079148588770849,0.8391304347826087
ESMFold_prot_bert_mean_5e-4_aa_only,0.8991239370949102,0.8605150214592274,0.8463420998420237,0.77970047530319,0.8115564500738893,0.7026456873223197,0.7022582566704803,0.3879114188203444,0.8797101449275363
