Model,AUC,Accuracy,Precision,Recall,F1,MCC,KS-statistic,Cross-Entropy,TopK
ESMFold_ankh-base_mean_5e-4_full,0.0150310769633373,0.0159434983871302,0.0299239646424628,0.0280619239039399,0.018063840212286,0.0273660908654669,0.0283629873259214,0.043440208791824,0.0360866655014166
ESMFold_ankh-base_mean_5e-4_foldseek_only,0.018606862386403,0.0151192403036982,0.0218923741979329,0.0408805295001229,0.027124836167623,0.0334175796507419,0.0364254492057048,0.037675041382787,0.0332070702533032
ESMFold_ankh-base_mean_5e-4_ez_only,0.0172295770100893,0.0157400178720105,0.0342868775049463,0.0346505540769261,0.0272962005524864,0.0363738071876936,0.0394555866796721,0.029476901402298,0.0449041547386367
ESMFold_ankh-base_mean_5e-4_aa_only,0.0165218570853762,0.0145480268297667,0.0284039260089566,0.0246797176768328,0.0226795103695478,0.0327884136913575,0.0320083774404494,0.023111866827475,0.0378202560889851
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_full,0.0141694237882854,0.0106520803828247,0.0208787630232227,0.0191138868227244,0.0136217804038198,0.020776018885057,0.0225940429744384,0.0328994745156366,0.032568413122093
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_foldseek_only,0.0137867408400758,0.0099825779825004,0.0227059894926216,0.0302482508603887,0.0198321972409823,0.0234957551427947,0.0286531852480573,0.0297111364782665,0.0283998810757469
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_ez_only,0.011382852932611,0.0146740952766341,0.0169274573549825,0.0341953091057925,0.0184539044270019,0.0281869160493074,0.028161761917253,0.0232743639581835,0.0246376811594202
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_aa_only,0.0137636826662976,0.0147679403726053,0.0242357128994419,0.0282905036883635,0.0236532717971055,0.033098627620066,0.029923626742586,0.0303115755611658,0.0273448728465408
ESMFold_prot_bert_mean_5e-4_full,0.0167796980546603,0.0157400178720105,0.0332237311713878,0.0263130675951463,0.026114089752574,0.0367321208835398,0.0400684048997673,0.03748546181806,0.0356179876157811
ESMFold_prot_bert_mean_5e-4_foldseek_only,0.0192990740962415,0.0154982575839208,0.0275106951905966,0.0386639196801457,0.0270908127140015,0.0360302642095077,0.0312923636097643,0.0487840035585857,0.035172930723222
ESMFold_prot_bert_mean_5e-4_ez_only,0.0172641382824615,0.0130460808185155,0.0228156753876162,0.0377517376673211,0.0180551979817862,0.0267701950199992,0.0369174751867571,0.0300044920611403,0.0307095943484305
ESMFold_prot_bert_mean_5e-4_aa_only,0.0115035422602229,0.0153849341879269,0.0194667757131876,0.0282572377619535,0.0231145499413522,0.0336946843520322,0.0335109961513964,0.0277367847303916,0.0224988039076232
