Model,AUC,Accuracy,Precision,Recall,F1,MCC,KS-statistic,Cross-Entropy,TopK
ESMFold_ankh-base_mean_5e-4_full,0.7886451979195601,0.6884615384615385,0.6734227837865608,0.4361598551887599,0.5274846444712311,0.3286727733881734,0.4743270152880002,0.5441813129842086,0.6521739130434783
ESMFold_ankh-base_mean_5e-4_foldseek_only,0.8308835291316768,0.7589743589743589,0.6691982966624287,0.8045188768336627,0.7294204165894695,0.5231186333371699,0.6002424777391981,0.5113899948618488,0.808695652173913
ESMFold_ankh-base_mean_5e-4_ez_only,0.6701977409934652,0.6269230769230769,0.0,0.0,0.0,0.0,0.3348763189168978,0.659234554472187,0.4869565217391304
ESMFold_ankh-base_mean_5e-4_aa_only,0.6585208429981366,0.6089743589743589,0.0,0.0,0.0,0.0,0.3336093342823084,0.6678828957116096,0.5130434782608696
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_full,0.8157184476783053,0.7256410256410256,0.6176500394793079,0.7814804866424723,0.689388686665675,0.4595553751480808,0.5254322948453327,0.5113254843496323,0.7217391304347825
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_foldseek_only,0.8340389285568393,0.7064102564102565,0.5802275025159196,0.8167294527250034,0.6772517934025286,0.443038690029528,0.585580071830827,0.5055614366977412,0.7434782608695651
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_ez_only,0.7842294972291275,0.685897435897436,0.5983895846700725,0.7385911642048212,0.6592863384328018,0.3800605134610212,0.44300697386566,0.551887359873091,0.717391304347826
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_aa_only,0.8153511872756567,0.7038461538461539,0.5996134484768103,0.7572730239049025,0.667997408379867,0.4175856522952668,0.5253424799507825,0.513051610844407,0.7347826086956522
ESMFold_prot_bert_mean_5e-4_full,0.8267883060586432,0.7538461538461538,0.676071522563458,0.7336166253101737,0.7026179397075103,0.4948466794957717,0.5759529597629252,0.4984796689829699,0.7173913043478259
ESMFold_prot_bert_mean_5e-4_foldseek_only,0.8138811313423717,0.7346153846153847,0.6060389878171297,0.7739654968687227,0.6777837750663969,0.4685633604029118,0.5692893055390708,0.5303209430733571,0.6695652173913043
ESMFold_prot_bert_mean_5e-4_ez_only,0.7566778647772929,0.6948717948717948,0.5887101510881999,0.7657619503740193,0.664779450660401,0.4038970517724368,0.4666092637733823,0.6144234669661914,0.6565217391304347
ESMFold_prot_bert_mean_5e-4_aa_only,0.6970317018966912,0.5987179487179487,0.5177517509905485,0.6468943812766994,0.5733700644614859,0.2086942854703627,0.3648951894832616,0.6123085190859169,0.6130434782608696
