Model,AUC,Accuracy,Precision,Recall,F1,MCC,KS-statistic,Cross-Entropy,TopK
ESMFold_ankh-base_mean_5e-4_full,0.0299740069698976,0.0339441084483941,0.0551079029324478,0.0480803448527378,0.0412271210499156,0.0569669830757918,0.0525670328497655,0.0293586475859337,0.0514441720269531
ESMFold_ankh-base_mean_5e-4_foldseek_only,0.0303099360258848,0.0285526377581026,0.0454647357644061,0.0554509470392882,0.0396339304135126,0.061339821721142,0.0616859526178735,0.0450651503479852,0.0521739130434782
ESMFold_ankh-base_mean_5e-4_ez_only,0.0626483372848771,0.0316383658442386,0.0,0.0,0.0,0.0,0.0828174575617681,0.0101781784277945,0.0907852739905265
ESMFold_ankh-base_mean_5e-4_aa_only,0.0329192478944002,0.0200672767211519,0.0,0.0,0.0,0.0,0.0329679168510651,0.0041812680475465,0.0608695652173912
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_full,0.0316904767291223,0.030982169163063,0.0296230606102724,0.0396738076328741,0.0276235983787391,0.0604153978611073,0.0449090993834135,0.0487388031583495,0.0650723023786772
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_foldseek_only,0.034297749267951,0.0419173916006969,0.0553475302788112,0.0559992420856397,0.0504710994254682,0.0795770453220167,0.0758453888959378,0.0478183303109533,0.0739130434782608
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_ez_only,0.020476349697218,0.0258007843557668,0.0510353399421441,0.0396895979038206,0.0326328393876518,0.0475928538077291,0.0346149501837734,0.01743289960464,0.0680542427934718
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_aa_only,0.0433365126438205,0.0364652888546869,0.046633026932466,0.0403745939229287,0.0344520509882908,0.0677955618437999,0.0905005641736161,0.0387532947528021,0.0739130434782608
ESMFold_prot_bert_mean_5e-4_full,0.0286792452856487,0.0396400636762571,0.0459936888680755,0.0459834823230606,0.0372991056710488,0.0755869478031689,0.0499489238892839,0.0458315207071016,0.0400849759012734
ESMFold_prot_bert_mean_5e-4_foldseek_only,0.0296539785001768,0.0329614362363652,0.0602004358249455,0.039341707710185,0.040098660353176,0.0596868270120471,0.0522522755815002,0.0478389696935449,0.0589767824619588
ESMFold_prot_bert_mean_5e-4_ez_only,0.0333202105771163,0.0366227098899633,0.0641457707685987,0.057094903178666,0.058951659452322,0.0753705218179545,0.0761079023754112,0.0442991595208238,0.0686075384263456
ESMFold_prot_bert_mean_5e-4_aa_only,0.0296347797802123,0.0376189762849261,0.0648844576071654,0.0536020852315526,0.0519847299754322,0.0780826258596665,0.0468979275014461,0.0242768433700773,0.0739130434782608
