Model,AUC,Accuracy,Precision,Recall,F1,MCC,KS-statistic,Cross-Entropy,TopK
ESMFold_ankh-base_mean_5e-4_full,0.9759041134787112,0.9419354838709678,0.965693174066885,0.9188115479137172,0.941634698034415,0.8849925381978867,0.8901421497759093,0.2650354801134901,0.990990990990991
ESMFold_ankh-base_mean_5e-4_foldseek_only,0.978888217448604,0.9370967741935484,0.955496977629022,0.921799754136216,0.938302872568658,0.8747583166479007,0.8890169248625295,0.1990694978339756,0.9927927927927926
ESMFold_ankh-base_mean_5e-4_ez_only,0.9605915095816542,0.8809139784946236,0.8522513546245808,0.9264848822061909,0.8877178573371347,0.7644445355053173,0.8129117571494746,0.2780059646158762,0.9882882882882882
ESMFold_ankh-base_mean_5e-4_aa_only,0.9462018924591196,0.8483870967741935,0.8126898964735121,0.9100209445688074,0.8584618944907971,0.7014274838137875,0.754391424443171,0.3406496880020675,0.982882882882883
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_full,0.9795124386416914,0.9448924731182796,0.946394303130614,0.9448232171226496,0.94554891847114,0.8897424439127031,0.9071415702697848,0.2270505686159395,0.9882882882882882
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_foldseek_only,0.9754730472038858,0.9368279569892474,0.957826634829248,0.91702826226184,0.9369083037090348,0.874462588556064,0.891028067897123,0.2940611873057682,0.9972972972972972
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_ez_only,0.9687217262358456,0.911559139784946,0.9147214298454418,0.9092413826835936,0.91181979872901,0.8232042844597895,0.8458020270357103,0.2255393976370753,0.9882882882882882
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_aa_only,0.9595012576362312,0.8999999999999998,0.8902540764168382,0.9164367711571988,0.9030896037263676,0.8002454003845564,0.8145441774561302,0.2622946685951673,0.9855855855855856
ESMFold_prot_bert_mean_5e-4_full,0.9820439235800204,0.946505376344086,0.9522354018451804,0.9427034330270636,0.9473294000667172,0.8931251343896524,0.9042015182538202,0.2241969813651727,0.9945945945945944
ESMFold_prot_bert_mean_5e-4_foldseek_only,0.9684494872497682,0.9080645161290322,0.9040255044354556,0.9168617235828131,0.910313509046281,0.8158549292926007,0.8289012573669698,0.2345406650219282,0.9873873873873874
ESMFold_prot_bert_mean_5e-4_ez_only,0.9687999953424544,0.914516129032258,0.8942561568689691,0.9456630620834516,0.9191598941944278,0.829948871194629,0.8528995999822484,0.2399926388909555,0.9864864864864864
ESMFold_prot_bert_mean_5e-4_aa_only,0.9720014596809892,0.913978494623656,0.8934417545896135,0.941862238569932,0.9169621958390382,0.829076176188722,0.8484468581018332,0.2271784065137552,0.9864864864864864
