Model,AUC,Accuracy,Precision,Recall,F1,MCC,KS-statistic,Cross-Entropy,TopK
ESMFold_ankh-base_mean_5e-4_full,0.0043543650940371,0.0063840548855042,0.0050560740303721,0.0106804352132442,0.0063669113391741,0.012414594607752,0.0131405097897395,0.0402192512616367,0.0056977975858889
ESMFold_ankh-base_mean_5e-4_foldseek_only,0.005927161367696,0.0062698407471455,0.0066973866381293,0.0110849367965169,0.0067348551304083,0.0123475570808479,0.0180462039420193,0.0301129180103275,0.0036036036036036
ESMFold_ankh-base_mean_5e-4_ez_only,0.0072545869045675,0.0104147153912959,0.016246237621071,0.0093148611339644,0.0098631302846393,0.0200985477771601,0.0207926258153135,0.0167047359169329,0.0081081081081081
ESMFold_ankh-base_mean_5e-4_aa_only,0.0087826720536384,0.0151685333114686,0.0231901654575122,0.0126111565239507,0.0160420518892118,0.0286248208998985,0.025145377980449,0.0195253000306458,0.009405681539559
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_full,0.0048349325553568,0.0078142160504025,0.0104199113689379,0.0109626223897916,0.0076422423511316,0.0156342953414106,0.0127089005170624,0.0352664285590326,0.0057685803940836
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_foldseek_only,0.0064270914351083,0.0085219717656706,0.008305455490766,0.0151258384498998,0.0092073478004995,0.0167574514902277,0.0180940768335028,0.0539421729624457,0.0057685803940836
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_ez_only,0.0050258573485663,0.0083679475356308,0.0123730114010133,0.0183289080094137,0.0101905079793967,0.0170065082589412,0.0129459191595679,0.016311708964065,0.0041284465720322
ESMFold_esm2_t33_650M_UR50D_mean_5e-4_aa_only,0.0083469242493185,0.0108063178721729,0.0170206333154915,0.0065486130357823,0.0105294628938817,0.0213666351619573,0.0196240932178908,0.0257634399434552,0.009187422547014
ESMFold_prot_bert_mean_5e-4_full,0.0061028580246159,0.0087891304969203,0.0134222361325897,0.0139059350446342,0.0088287265351569,0.017523645715724,0.0169227242459436,0.0509590828067332,0.0059759005231628
ESMFold_prot_bert_mean_5e-4_foldseek_only,0.0049806690370817,0.0093739762226681,0.0085714618368527,0.0172071657728497,0.0102534915861483,0.0191630272156029,0.0166286330773031,0.0159038403981011,0.0059759005231628
ESMFold_prot_bert_mean_5e-4_ez_only,0.0048371344473136,0.0095269059928329,0.0153129782073373,0.0127319330134468,0.0112423705257521,0.0188721364423714,0.020969271560216,0.0163637523452712,0.0060434269662156
ESMFold_prot_bert_mean_5e-4_aa_only,0.0070898115444031,0.0115934723940042,0.0143338749387509,0.0092757331867582,0.0102364968441629,0.0229419808648585,0.0227629986071685,0.0260525561120187,0.0092314871765401
